Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
Air India,24/08/2019,Chennai,Kolkata,Afternoon,Afternoon,3h,1 stop,10925
Air India,05/10/2019,Bangalore,Kolkata,Night,Morning,1h 45m,non-stop,8736
Air India,12/10/2019,Kolkata,Mumbai,Afternoon,Afternoon,4h 15m,non-stop,3548
Air India,20/06/2019,Kolkata,Delhi,Morning,Night,3h,non-stop,5026
Air India,11/01/2019,Kolkata,Cochin,Afternoon,Morning,4h 15m,1 stop,13865
Air India,13/11/2019,Kolkata,Hyderabad,Night,Night,4h 15m,non-stop,7087
Air India,29/12/2019,Chennai,Mumbai,Night,Evening,3h,2 stops,12028
Air India,29/01/2019,Kolkata,Hyderabad,Afternoon,Morning,4h 15m,1 stop,10820
Air India,15/11/2019,Chennai,Kolkata,Night,Night,4h 15m,2 stops,3278
Air India,24/03/2019,Chennai,Kolkata,Afternoon,Evening,2h 10m,1 stop,14278
Air India,14/12/2019,Kolkata,Mumbai,Afternoon,Afternoon,2h 10m,1 stop,6567
Air India,03/12/2019,Delhi,Kolkata,Morning,Evening,3h,non-stop,7076
Air India,06/02/2019,Bangalore,Hyderabad,Afternoon,Afternoon,4h 15m,non-stop,12565
Air India,04/11/2019,Bangalore,Mumbai,Afternoon,Night,3h,1 stop,13362
Air India,09/07/2019,Kolkata,Mumbai,Afternoon,Afternoon,1h 45m,non-stop,6344
Air India,24/10/2019,Chennai,Kolkata,Evening,Afternoon,2h 10m,2 stops,3885
Air India,24/08/2019,Kolkata,Delhi,Morning,Afternoon,2h 10m,1 stop,12238
Air India,19/04/2019,Mumbai,Cochin,Afternoon,Afternoon,2h 30m,non-stop,9048
Air India,27/03/2019,Mumbai,Hyderabad,Evening,Morning,2h 30m,non-stop,11582
Air India,06/07/2019,Kolkata,Cochin,Night,Evening,3h,1 stop,11057
Air India,18/05/2019,Mumbai,Kolkata,Night,Night,2h 30m,1 stop,12851
Air India,04/05/2019,Delhi,Mumbai,Morning,Evening,3h,1 stop,14940
Air India,02/05/2019,Mumbai,Delhi,Evening,Night,4h 15m,non-stop,8450
Air India,11/04/2019,Bangalore,Kolkata,Night,Night,4h 15m,2 stops,10825
Air India,16/10/2019,Kolkata,Cochin,Afternoon,Night,3h,non-stop,8801
Air India,31/03/2019,Mumbai,Cochin,Afternoon,Evening,2h 30m,2 stops,5745
Air India,19/11/2019,Bangalore,Hyderabad,Morning,Afternoon,2h 10m,2 stops,11418
Air India,16/08/2019,Kolkata,Mumbai,Morning,Evening,2h 30m,non-stop,7948
Air India,12/05/2019,Delhi,Mumbai,Night,Afternoon,1h 45m,1 stop,14371
Air India,02/09/2019,Delhi,Hyderabad,Afternoon,Evening,4h 15m,non-stop,5309
Air India,04/07/2019,Bangalore,Kolkata,Afternoon,Afternoon,4h 15m,2 stops,9199
Air India,31/03/2019,Mumbai,Delhi,Afternoon,Morning,4h 15m,2 stops,5246
Air India,25/03/2019,Delhi,Kolkata,Night,Afternoon,1h 45m,2 stops,9870
Air India,29/12/2019,Mumbai,Delhi,Afternoon,Morning,4h 15m,non-stop,10081
Air India,14/08/2019,Bangalore,Kolkata,Night,Evening,2h 10m,2 stops,13410
Air India,04/06/2019,Bangalore,Hyderabad,Evening,Afternoon,2h 10m,non-stop,12595
Air India,02/06/2019,Kolkata,Cochin,Night,Evening,2h 10m,2 stops,14282
Air India,07/03/2019,Kolkata,Cochin,Afternoon,Afternoon,2h 10m,non-stop,5725
Air India,20/04/2019,Delhi,Hyderabad,Afternoon,Morning,1h 45m,2 stops,10830
Air India,10/09/2019,Bangalore,Cochin,Afternoon,Morning,3h,non-stop,5540
Air India,09/04/2019,Delhi,Mumbai,Night,Evening,1h 45m,2 stops,11693
Air India,06/02/2019,Chennai,Hyderabad,Morning,Evening,4h 15m,1 stop,9313
Air India,01/09/2019,Delhi,Hyderabad,Night,Night,1h 45m,2 stops,14301
Air India,07/07/2019,Delhi,Kolkata,Evening,Night,2h 10m,2 stops,8826
Air India,05/09/2019,Bangalore,Delhi,Evening,Morning,4h 15m,non-stop,10536
Air India,23/07/2019,Chennai,Hyderabad,Afternoon,Morning,1h 45m,non-stop,12703
Air India,03/10/2019,Kolkata,Mumbai,Morning,Night,3h,1 stop,13557
Air India,23/03/2019,Bangalore,Mumbai,Afternoon,Evening,2h 30m,2 stops,10744
Air India,04/06/2019,Mumbai,Delhi,Night,Evening,1h 45m,2 stops,5255
Air India,23/05/2019,Chennai,Kolkata,Evening,Night,2h 30m,non-stop,7404
Air India,05/04/2019,Bangalore,Delhi,Night,Night,2h 10m,non-stop,7638
Air India,25/03/2019,Delhi,Cochin,Morning,Morning,4h 15m,1 stop,12510
Air India,30/05/2019,Delhi,Cochin,Night,Afternoon,1h 45m,non-stop,13729
Air India,06/07/2019,Kolkata,Delhi,Evening,Morning,2h 10m,non-stop,10105
Air India,27/02/2019,Mumbai,Hyderabad,Afternoon,Evening,2h 10m,2 stops,13124
Air India,01/08/2019,Chennai,Hyderabad,Evening,Night,2h 10m,2 stops,6680
Air India,12/01/2019,Mumbai,Hyderabad,Night,Afternoon,4h 15m,2 stops,9441
Air India,10/10/2019,Delhi,Kolkata,Night,Evening,2h 10m,1 stop,12068
Air India,10/02/2019,Kolkata,Hyderabad,Afternoon,Night,2h 10m,2 stops,5221
Air India,23/03/2019,Chennai,Mumbai,Night,Afternoon,2h 30m,2 stops,13559
Air India,28/05/2019,Kolkata,Cochin,Evening,Night,4h 15m,2 stops,4464
Air India,08/10/2019,Bangalore,Kolkata,Morning,Afternoon,4h 15m,1 stop,6851
Air India,29/11/2019,Kolkata,Mumbai,Morning,Morning,1h 45m,non-stop,4504
Air India,07/01/2019,Mumbai,Delhi,Morning,Evening,2h 10m,non-stop,12761
Air India,27/01/2019,Mumbai,Kolkata,Afternoon,Night,4h 15m,non-stop,5126
Air India,07/07/2019,Delhi,Kolkata,Evening,Morning,1h 45m,1 stop,10219
Air India,13/10/2019,Chennai,Delhi,Evening,Evening,2h 30m,1 stop,7381
Air India,21/01/2019,Mumbai,Delhi,Morning,Night,2h 10m,non-stop,7014
Air India,29/04/2019,Chennai,Mumbai,Evening,Evening,3h,2 stops,9350
Air India,08/01/2019,Kolkata,Mumbai,Morning,Night,3h,non-stop,13485
Air India,10/01/2019,Mumbai,Kolkata,Night,Night,3h,2 stops,7126
Air India,04/03/2019,Kolkata,Cochin,Night,Morning,1h 45m,1 stop,13975
Air India,27/12/2019,Delhi,Cochin,Evening,Evening,1h 45m,2 stops,11415
Air India,15/10/2019,Mumbai,Delhi,Afternoon,Evening,1h 45m,1 stop,9051
Air India,30/05/2019,Kolkata,Hyderabad,Night,Evening,1h 45m,2 stops,10678
Air India,19/02/2019,Delhi,Cochin,Morning,Night,2h 30m,1 stop,3168
Air India,14/08/2019,Kolkata,Delhi,Morning,Evening,1h 45m,non-stop,12969
Air India,24/03/2019,Bangalore,Hyderabad,Afternoon,Night,3h,1 stop,14640
Air India,06/12/2019,Kolkata,Mumbai,Morning,Evening,2h 30m,2 stops,10891
Air India,27/08/2019,Bangalore,Hyderabad,Afternoon,Morning,4h 15m,2 stops,9344
Air India,15/01/2019,Mumbai,Delhi,Evening,Morning,4h 15m,non-stop,9146
Air India,31/03/2019,Mumbai,Delhi,Evening,Evening,2h 30m,non-stop,13056
Air India,13/03/2019,Bangalore,Cochin,Afternoon,Morning,2h 30m,non-stop,10003
Air India,20/04/2019,Delhi,Kolkata,Afternoon,Afternoon,2h 30m,2 stops,8481
Air India,14/06/2019,Bangalore,Cochin,Morning,Night,2h 10m,non-stop,10202
Air India,05/08/2019,Kolkata,Delhi,Night,Evening,1h 45m,non-stop,14866
Air India,17/01/2019,Bangalore,Kolkata,Morning,Morning,2h 10m,1 stop,4518
Air India,22/07/2019,Kolkata,Cochin,Afternoon,Evening,3h,2 stops,7049
Air India,29/05/2019,Bangalore,Cochin,Night,Morning,4h 15m,1 stop,13054
Air India,14/11/2019,Chennai,Delhi,Morning,Morning,2h 10m,non-stop,9421
Air India,28/03/2019,Chennai,Mumbai,Night,Night,2h 10m,non-stop,13894
Air India,05/12/2019,Kolkata,Delhi,Evening,Night,1h 45m,1 stop,4988
Air India,03/07/2019,Chennai,Mumbai,Evening,Night,2h 30m,2 stops,10706
Air India,29/12/2019,Mumbai,Kolkata,Morning,Afternoon,4h 15m,2 stops,14654
Air India,20/03/2019,Delhi,Hyderabad,Night,Night,1h 45m,non-stop,7741
Air India,23/09/2019,Bangalore,Delhi,Evening,Night,3h,2 stops,4437
Air India,18/08/2019,Delhi,Hyderabad,Night,Morning,4h 15m,2 stops,5582
Air India,24/02/2019,Bangalore,Delhi,Morning,Evening,1h 45m,1 stop,7957
Air India,05/07/2019,Mumbai,Kolkata,Evening,Evening,4h 15m,2 stops,10752
Air India,31/01/2019,Bangalore,Kolkata,Afternoon,Evening,2h 30m,1 stop,13492
Air India,22/07/2019,Delhi,Cochin,Afternoon,Evening,4h 15m,2 stops,12690
Air India,26/11/2019,Mumbai,Delhi,Morning,Morning,3h,1 stop,3526
Air India,18/01/2019,Delhi,Hyderabad,Evening,Evening,2h 30m,non-stop,11344
Air India,08/07/2019,Chennai,Mumbai,Morning,Afternoon,2h 10m,1 stop,12443
Air India,26/09/2019,Chennai,Hyderabad,Afternoon,Night,1h 45m,1 stop,14348
Air India,15/10/2019,Delhi,Mumbai,Afternoon,Night,1h 45m,1 stop,4776
Air India,17/02/2019,Delhi,Cochin,Morning,Evening,2h 30m,2 stops,5721
Air India,21/12/2019,Kolkata,Mumbai,Morning,Morning,4h 15m,1 stop,9429
Air India,07/06/2019,Delhi,Kolkata,Morning,Afternoon,1h 45m,1 stop,13301
Air India,25/03/2019,Bangalore,Hyderabad,Night,Morning,3h,non-stop,12798
Air India,13/02/2019,Mumbai,Cochin,Morning,Morning,4h 15m,non-stop,7926
Air India,16/07/2019,Mumbai,Cochin,Afternoon,Night,3h,2 stops,14951
Air India,03/10/2019,Chennai,Mumbai,Morning,Night,4h 15m,non-stop,4477
Air India,09/02/2019,Kolkata,Delhi,Night,Morning,2h 10m,1 stop,6386
Air India,05/06/2019,Bangalore,Kolkata,Night,Afternoon,1h 45m,2 stops,10808
Air India,24/10/2019,Chennai,Delhi,Evening,Evening,4h 15m,2 stops,13181
Air India,10/01/2019,Mumbai,Delhi,Evening,Afternoon,2h 10m,non-stop,6098
Air India,11/01/2019,Chennai,Kolkata,Evening,Morning,2h 10m,2 stops,11861
Air India,15/11/2019,Delhi,Mumbai,Evening,Night,3h,1 stop,5104
Air India,05/10/2019,Chennai,Kolkata,Night,Morning,3h,2 stops,14512
Air India,17/04/2019,Chennai,Kolkata,Morning,Evening,2h 10m,1 stop,9414
Air India,02/06/2019,Mumbai,Cochin,Evening,Evening,2h 10m,2 stops,3318
Air India,04/12/2019,Chennai,Kolkata,Afternoon,Night,2h 10m,2 stops,14391
Air India,10/11/2019,Chennai,Mumbai,Afternoon,Night,1h 45m,1 stop,3736
Air India,23/03/2019,Chennai,Hyderabad,Night,Afternoon,4h 15m,non-stop,3436
Air India,09/09/2019,Bangalore,Hyderabad,Night,Afternoon,2h 10m,1 stop,11249
Air India,10/06/2019,Kolkata,Hyderabad,Afternoon,Afternoon,4h 15m,non-stop,13853
Air India,02/07/2019,Chennai,Mumbai,Afternoon,Afternoon,1h 45m,non-stop,12596
Air India,10/12/2019,Delhi,Cochin,Evening,Night,3h,1 stop,11308
Air India,16/12/2019,Mumbai,Cochin,Night,Morning,4h 15m,non-stop,11493
Air India,24/08/2019,Delhi,Kolkata,Afternoon,Night,2h 10m,1 stop,14149
Air India,13/01/2019,Bangalore,Delhi,Night,Evening,3h,2 stops,7888
Air India,21/10/2019,Mumbai,Kolkata,Morning,Morning,2h 30m,2 stops,5125
Air India,07/01/2019,Chennai,Cochin,Evening,Morning,2h 30m,non-stop,12627
Air India,29/01/2019,Mumbai,Kolkata,Evening,Afternoon,4h 15m,non-stop,8857
Air India,27/08/2019,Mumbai,Kolkata,Morning,Morning,3h,non-stop,8596
Air India,23/01/2019,Delhi,Kolkata,Evening,Evening,4h 15m,2 stops,6809
Air India,16/03/2019,Chennai,Mumbai,Night,Morning,3h,non-stop,11737
Air India,04/01/2019,Bangalore,Delhi,Afternoon,Afternoon,4h 15m,non-stop,11409
Air India,17/03/2019,Mumbai,Hyderabad,Afternoon,Afternoon,4h 15m,2 stops,6823
Air India,05/03/2019,Delhi,Mumbai,Morning,Night,4h 15m,1 stop,8309
Air India,19/10/2019,Chennai,Delhi,Morning,Morning,2h 30m,1 stop,8040
Air India,24/06/2019,Mumbai,Kolkata,Morning,Evening,4h 15m,non-stop,14935
Air India,29/06/2019,Bangalore,Cochin,Afternoon,Night,2h 30m,2 stops,10371
Air India,26/10/2019,Kolkata,Cochin,Morning,Afternoon,3h,1 stop,12447
Air India,02/09/2019,Kolkata,Delhi,Evening,Morning,1h 45m,non-stop,13293
Air India,16/05/2019,Chennai,Mumbai,Morning,Evening,2h 30m,non-stop,9702
Air India,28/06/2019,Mumbai,Cochin,Morning,Afternoon,1h 45m,2 stops,7756
Air India,29/04/2019,Mumbai,Cochin,Night,Morning,3h,2 stops,6270
Air India,04/04/2019,Kolkata,Mumbai,Evening,Afternoon,1h 45m,2 stops,9840
Air India,05/01/2019,Mumbai,Kolkata,Morning,Night,4h 15m,2 stops,4702
Air India,07/04/2019,Kolkata,Mumbai,Evening,Afternoon,2h 30m,1 stop,11299
Air India,06/11/2019,Chennai,Cochin,Afternoon,Evening,4h 15m,non-stop,9754
Air India,16/07/2019,Bangalore,Cochin,Morning,Evening,4h 15m,2 stops,10838
Air India,02/01/2019,Bangalore,Kolkata,Morning,Afternoon,2h 30m,1 stop,12854
Air India,14/05/2019,Bangalore,Hyderabad,Afternoon,Morning,2h 30m,2 stops,6652
Air India,23/05/2019,Kolkata,Delhi,Evening,Night,1h 45m,1 stop,12114
Air India,13/07/2019,Kolkata,Mumbai,Evening,Morning,3h,1 stop,6562
Air India,05/05/2019,Mumbai,Delhi,Night,Night,1h 45m,1 stop,3377
Air India,22/03/2019,Kolkata,Hyderabad,Night,Evening,2h 10m,non-stop,14321
Air India,22/01/2019,Kolkata,Mumbai,Night,Evening,2h 10m,1 stop,14059
Air India,17/09/2019,Kolkata,Mumbai,Night,Evening,1h 45m,non-stop,14303
Air India,31/07/2019,Mumbai,Delhi,Night,Afternoon,4h 15m,2 stops,10891
Air India,12/12/2019,Kolkata,Delhi,Morning,Afternoon,1h 45m,2 stops,14306
Air India,01/10/2019,Chennai,Cochin,Afternoon,Evening,4h 15m,non-stop,13056
Air India,27/10/2019,Bangalore,Kolkata,Morning,Morning,4h 15m,non-stop,8170
Air India,24/04/2019,Bangalore,Hyderabad,Night,Morning,3h,2 stops,3047
Air India,03/05/2019,Chennai,Cochin,Afternoon,Night,4h 15m,non-stop,6986
Air India,30/01/2019,Delhi,Cochin,Night,Evening,1h 45m,1 stop,3009
Air India,09/12/2019,Chennai,Cochin,Morning,Evening,2h 10m,2 stops,10882
Air India,22/06/2019,Mumbai,Cochin,Evening,Morning,2h 10m,1 stop,9139
Air India,07/08/2019,Delhi,Hyderabad,Night,Evening,2h 30m,2 stops,14223
Air India,21/04/2019,Bangalore,Cochin,Morning,Morning,2h 10m,non-stop,12815
Air India,08/08/2019,Chennai,Hyderabad,Evening,Morning,2h 30m,non-stop,7713
Air India,08/01/2019,Mumbai,Kolkata,Evening,Evening,4h 15m,2 stops,3615
Air India,30/06/2019,Chennai,Hyderabad,Evening,Morning,1h 45m,2 stops,10181
Air India,19/03/2019,Bangalore,Kolkata,Afternoon,Afternoon,2h 10m,non-stop,8655
Air India,19/06/2019,Kolkata,Mumbai,Evening,Evening,1h 45m,2 stops,3310
Air India,07/07/2019,Kolkata,Mumbai,Evening,Night,2h 10m,1 stop,14166
Air India,29/03/2019,Kolkata,Mumbai,Morning,Night,2h 10m,2 stops,5108
Air India,07/10/2019,Delhi,Cochin,Evening,Night,2h 30m,2 stops,11017
Air India,02/03/2019,Chennai,Kolkata,Evening,Night,3h,2 stops,6930
Air India,22/02/2019,Chennai,Kolkata,Morning,Morning,2h 30m,non-stop,8480
Air India,01/09/2019,Kolkata,Mumbai,Morning,Afternoon,4h 15m,non-stop,11423
Air India,31/01/2019,Bangalore,Delhi,Afternoon,Morning,2h 10m,1 stop,3524
Air India,01/02/2019,Kolkata,Cochin,Afternoon,Afternoon,3h,non-stop,8210
Air India,21/11/2019,Chennai,Hyderabad,Afternoon,Evening,3h,non-stop,12895
Air India,18/06/2019,Chennai,Hyderabad,Evening,Morning,2h 30m,2 stops,6968
Air India,13/01/2019,Delhi,Kolkata,Morning,Afternoon,4h 15m,non-stop,8380
Air India,03/03/2019,Bangalore,Hyderabad,Evening,Evening,4h 15m,2 stops,3135
Air India,05/07/2019,Kolkata,Cochin,Afternoon,Night,2h 30m,non-stop,10802
Air India,27/01/2019,Mumbai,Delhi,Evening,Afternoon,2h 30m,1 stop,8235
Air India,22/06/2019,Chennai,Kolkata,Night,Night,2h 30m,1 stop,10087
Air India,28/10/2019,Chennai,Mumbai,Evening,Night,3h,1 stop,6997
Air India,26/08/2019,Mumbai,Hyderabad,Afternoon,Evening,3h,2 stops,12592
Air India,04/01/2019,Mumbai,Delhi,Afternoon,Afternoon,1h 45m,non-stop,12599
Air India,07/06/2019,Mumbai,Delhi,Night,Morning,3h,1 stop,3886
Air India,23/12/2019,Bangalore,Cochin,Evening,Evening,3h,non-stop,9601
Air India,04/07/2019,Kolkata,Cochin,Night,Afternoon,2h 10m,1 stop,14627
Air India,26/09/2019,Chennai,Cochin,Night,Evening,2h 10m,2 stops,14623
Air India,25/12/2019,Bangalore,Cochin,Morning,Afternoon,1h 45m,1 stop,13904
Air India,05/04/2019,Mumbai,Kolkata,Morning,Night,2h 30m,non-stop,11552
Air India,13/07/2019,Mumbai,Cochin,Morning,Afternoon,4h 15m,1 stop,8244
Air India,29/04/2019,Kolkata,Delhi,Evening,Afternoon,3h,non-stop,6786
Air India,16/08/2019,Kolkata,Delhi,Evening,Morning,1h 45m,2 stops,5505
Air India,19/04/2019,Mumbai,Hyderabad,Evening,Evening,2h 10m,2 stops,6575
Air India,21/08/2019,Bangalore,Hyderabad,Afternoon,Morning,3h,1 stop,8951
Air India,19/11/2019,Kolkata,Delhi,Night,Afternoon,2h 30m,2 stops,14242
Air India,19/06/2019,Mumbai,Hyderabad,Night,Evening,4h 15m,non-stop,11974
Air India,25/04/2019,Mumbai,Cochin,Night,Afternoon,1h 45m,2 stops,12763
Air India,18/12/2019,Chennai,Kolkata,Morning,Morning,2h 10m,1 stop,12399
Air India,04/12/2019,Delhi,Mumbai,Afternoon,Evening,4h 15m,non-stop,13726
Air India,11/07/2019,Bangalore,Mumbai,Afternoon,Morning,2h 30m,non-stop,8842
Air India,28/05/2019,Chennai,Kolkata,Afternoon,Afternoon,1h 45m,non-stop,13677
Air India,12/02/2019,Bangalore,Mumbai,Afternoon,Evening,4h 15m,1 stop,8310
Air India,15/02/2019,Chennai,Delhi,Morning,Afternoon,3h,non-stop,4227
Air India,07/05/2019,Chennai,Delhi,Morning,Evening,4h 15m,2 stops,7249
Air India,03/09/2019,Chennai,Cochin,Afternoon,Evening,2h 10m,non-stop,8734
Air India,04/06/2019,Chennai,Mumbai,Evening,Afternoon,4h 15m,non-stop,8995
Air India,14/05/2019,Bangalore,Mumbai,Evening,Afternoon,2h 10m,2 stops,7994
Air India,18/09/2019,Chennai,Hyderabad,Morning,Afternoon,4h 15m,non-stop,11018
Air India,28/03/2019,Bangalore,Kolkata,Night,Night,2h 30m,non-stop,3893
Air India,03/04/2019,Bangalore,Mumbai,Night,Morning,1h 45m,non-stop,11473
Air India,04/04/2019,Delhi,Hyderabad,Morning,Evening,3h,1 stop,3970
Air India,06/07/2019,Kolkata,Hyderabad,Evening,Afternoon,2h 30m,2 stops,5601
Air India,04/01/2019,Kolkata,Delhi,Morning,Afternoon,2h 10m,non-stop,11668
Air India,01/12/2019,Chennai,Mumbai,Afternoon,Night,2h 10m,2 stops,7678
Air India,29/04/2019,Kolkata,Mumbai,Evening,Evening,3h,non-stop,4515
Air India,16/03/2019,Bangalore,Delhi,Afternoon,Night,3h,non-stop,9387
Air India,09/08/2019,Delhi,Kolkata,Morning,Morning,1h 45m,2 stops,4160
Air India,23/03/2019,Delhi,Cochin,Night,Morning,3h,2 stops,13185
Air India,22/02/2019,Mumbai,Hyderabad,Night,Night,1h 45m,2 stops,3959
Air India,16/05/2019,Delhi,Mumbai,Afternoon,Morning,1h 45m,1 stop,6529
Air India,19/10/2019,Mumbai,Hyderabad,Evening,Night,3h,non-stop,13430
Air India,06/12/2019,Delhi,Mumbai,Morning,Morning,3h,1 stop,7497
Air India,16/05/2019,Chennai,Delhi,Night,Night,3h,1 stop,3184
Air India,15/05/2019,Kolkata,Mumbai,Afternoon,Night,3h,1 stop,4581
Air India,23/10/2019,Mumbai,Hyderabad,Afternoon,Evening,3h,2 stops,3555
Air India,16/12/2019,Delhi,Hyderabad,Evening,Morning,2h 30m,non-stop,4165
Air India,16/03/2019,Bangalore,Mumbai,Evening,Afternoon,2h 10m,2 stops,4777
Air India,05/10/2019,Delhi,Mumbai,Evening,Evening,3h,1 stop,4121
Air India,16/01/2019,Bangalore,Delhi,Morning,Night,2h 30m,non-stop,11996
Air India,25/12/2019,Kolkata,Mumbai,Morning,Evening,2h 10m,2 stops,8110
